rodada;qtd_amostra;execucao;tmp_total;tmp_python;origem
9;512000;42;45860;42.203654050827;SQL_Server
9;512000;43;47203;43.5630464553833;SQL_Server
9;512000;44;48173;44.4536826610565;SQL_Server
9;512000;45;46407;42.6411600112915;SQL_Server
9;512000;46;45890;42.2349047660828;SQL_Server
9;512000;47;46173;42.4536571502686;SQL_Server
9;512000;48;46577;42.906788110733;SQL_Server
9;512000;49;47376;43.6724226474762;SQL_Server
10;1024000;0;109907;104.391932964325;SQL_Server
10;1024000;1;110893;105.360696554184;SQL_Server
10;1024000;2;111487;105.93882894516;SQL_Server
10;1024000;3;110483;105.016942501068;SQL_Server
10;1024000;4;110157;104.673188447952;SQL_Server
10;1024000;5;111096;105.595074892044;SQL_Server
10;1024000;6;110970;105.470073223114;SQL_Server
10;1024000;7;110580;105.063816308975;SQL_Server
10;1024000;8;111047;105.54819893837;SQL_Server
10;1024000;9;109440;103.876302957535;SQL_Server
10;1024000;10;113157;107.626350641251;SQL_Server
10;1024000;11;113190;107.673225641251;SQL_Server
10;1024000;12;109596;104.126306295395;SQL_Server
10;1024000;13;110984;105.470072507858;SQL_Server
10;1024000;14;112596;106.891966104507;SQL_Server
10;1024000;15;109970;104.423184871674;SQL_Server
10;1024000;16;109564;104.048192501068;SQL_Server
10;1024000;17;111953;106.407585144043;SQL_Server
10;1024000;18;112677;107.204472780228;SQL_Server
10;1024000;19;110343;104.813815593719;SQL_Server
10;1024000;20;110330;104.766939401627;SQL_Server
10;1024000;21;110377;104.860690355301;SQL_Server
10;1024000;22;110093;104.579437017441;SQL_Server
10;1024000;23;108987;103.454422950745;SQL_Server
10;1024000;24;110580;105.110694169998;SQL_Server
10;1024000;25;109844;104.282558441162;SQL_Server
10;1024000;26;110656;105.032567739487;SQL_Server
10;1024000;27;110707;105.204444885254;SQL_Server
10;1024000;28;109797;104.282557725906;SQL_Server
10;1024000;29;111283;105.798202514648;SQL_Server
10;1024000;30;111250;105.688825845718;SQL_Server
10;1024000;31;111160;105.610699653625;SQL_Server
10;1024000;32;111297;105.798202753067;SQL_Server
10;1024000;33;110800;105.016942501068;SQL_Server
10;1024000;34;110876;105.313821077347;SQL_Server
10;1024000;35;111000;105.470072031021;SQL_Server
10;1024000;36;109814;104.329432249069;SQL_Server
10;1024000;37;111784;106.29821228981;SQL_Server
10;1024000;38;109910;104.376309394836;SQL_Server
10;1024000;39;112827;107.204469919205;SQL_Server
10;1024000;40;108720;102.86066532135;SQL_Server
10;1024000;41;110283;104.782564640045;SQL_Server
10;1024000;42;110253;104.610687732697;SQL_Server
10;1024000;43;109220;103.688801288605;SQL_Server
10;1024000;44;110407;104.907565832138;SQL_Server
10;1024000;45;110643;105.126318693161;SQL_Server
10;1024000;46;110687;105.188840389252;SQL_Server
10;1024000;47;111050;105.423197507858;SQL_Server
10;1024000;48;111220;105.704451084137;SQL_Server
10;1024000;49;109470;103.891928195953;SQL_Server
0;1000;0;0.0398154258728027;0.00681710243225098;Python_Externo
